timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778171335352,79,01 - Homepage,200,OK,Realistic User Journey 1-4,text,true,,9011,210,55,55,http://localhost/,75,0,14
1778171337145,7,01 - Homepage,200,OK,Realistic User Journey 1-2,text,true,,9011,210,58,58,http://localhost/,7,0,2
1778171337353,7,01 - Homepage,200,OK,Realistic User Journey 1-5,text,true,,9011,210,58,58,http://localhost/,6,0,1
1778171338095,7,01 - Homepage,200,OK,Realistic User Journey 1-10,text,true,,9011,210,60,60,http://localhost/,6,0,1
1778171338197,6,01 - Homepage,200,OK,Realistic User Journey 1-7,text,true,,9011,210,60,60,http://localhost/,6,0,2
1778171338236,3,01 - Homepage,200,OK,Realistic User Journey 1-11,text,true,,9011,210,60,60,http://localhost/,3,0,1
1778171339465,6,01 - Homepage,200,OK,Realistic User Journey 1-1,text,true,,9011,210,62,62,http://localhost/,6,0,1
1778171342073,6,01 - Homepage,200,OK,Realistic User Journey 1-6,text,true,,9011,210,66,66,http://localhost/,6,0,1
1778171342157,7,01 - Homepage,200,OK,Realistic User Journey 1-12,text,true,,9011,210,66,66,http://localhost/,7,0,1
1778171342267,4,01 - Homepage,200,OK,Realistic User Journey 1-17,text,true,,9011,210,67,67,http://localhost/,4,0,1
1778171342286,2,01 - Homepage,200,OK,Realistic User Journey 1-14,text,true,,9011,210,67,67,http://localhost/,2,0,0
1778171342756,6,01 - Homepage,200,OK,Realistic User Journey 1-8,text,true,,9011,210,67,67,http://localhost/,6,0,1
1778171343561,5,01 - Homepage,200,OK,Realistic User Journey 1-3,text,true,,9011,210,69,69,http://localhost/,5,0,0
1778171343998,7,01 - Homepage,200,OK,Realistic User Journey 1-18,text,true,,9011,210,69,69,http://localhost/,7,0,2
1778171344054,8,01 - Homepage,200,OK,Realistic User Journey 1-9,text,true,,9011,210,70,70,http://localhost/,8,0,2
1778171345386,6,01 - Homepage,200,OK,Realistic User Journey 1-13,text,true,,9011,210,72,72,http://localhost/,6,0,1
1778171345417,8,01 - Homepage,200,OK,Realistic User Journey 1-15,text,true,,9011,210,72,72,http://localhost/,8,0,1
1778171346986,7,01 - Homepage,200,OK,Realistic User Journey 1-20,text,true,,9011,210,74,74,http://localhost/,7,0,2
1778171348290,6,01 - Homepage,200,OK,Realistic User Journey 1-16,text,true,,9011,210,77,77,http://localhost/,5,0,1
1778171348467,5,01 - Homepage,200,OK,Realistic User Journey 1-21,text,true,,9011,210,77,77,http://localhost/,5,0,1
1778171349084,6,01 - Homepage,200,OK,Realistic User Journey 1-23,text,true,,9011,210,78,78,http://localhost/,6,0,1
1778171350638,4,01 - Homepage,200,OK,Realistic User Journey 1-26,text,true,,9011,210,81,81,http://localhost/,4,0,1
1778171351716,3,01 - Homepage,200,OK,Realistic User Journey 1-27,text,true,,9011,210,82,82,http://localhost/,3,0,1
1778171352066,7,01 - Homepage,200,OK,Realistic User Journey 1-19,text,true,,9011,210,83,83,http://localhost/,7,0,2
1778171352703,7,01 - Homepage,200,OK,Realistic User Journey 1-22,text,true,,9011,210,84,84,http://localhost/,7,0,1
1778171352814,6,01 - Homepage,200,OK,Realistic User Journey 1-25,text,true,,9011,210,84,84,http://localhost/,6,0,1
1778171353614,7,01 - Homepage,200,OK,Realistic User Journey 1-24,text,true,,9011,210,86,86,http://localhost/,6,0,2
1778171353752,6,01 - Homepage,200,OK,Realistic User Journey 1-32,text,true,,9011,210,86,86,http://localhost/,6,0,1
1778171354120,5,01 - Homepage,200,OK,Realistic User Journey 1-28,text,true,,9011,210,86,86,http://localhost/,5,0,1
1778171354677,5,01 - Homepage,200,OK,Realistic User Journey 1-29,text,true,,9011,210,87,87,http://localhost/,5,0,1
1778171355714,9,01 - Homepage,200,OK,Realistic User Journey 1-30,text,true,,9011,210,89,89,http://localhost/,9,0,1
1778171355979,7,01 - Homepage,200,OK,Realistic User Journey 1-31,text,true,,9011,210,89,89,http://localhost/,6,0,1
1778171356480,3,01 - Homepage,200,OK,Realistic User Journey 1-38,text,true,,9011,210,90,90,http://localhost/,3,0,0
1778171357246,3,01 - Homepage,200,OK,Realistic User Journey 1-35,text,true,,9011,210,92,92,http://localhost/,3,0,0
1778171358454,7,01 - Homepage,200,OK,Realistic User Journey 1-39,text,true,,9011,210,94,94,http://localhost/,7,0,1
1778171358958,6,01 - Homepage,200,OK,Realistic User Journey 1-34,text,true,,9011,210,94,94,http://localhost/,6,0,1
1778171359364,12,01 - Homepage,200,OK,Realistic User Journey 1-33,text,true,,9011,210,95,95,http://localhost/,12,0,1
1778171360182,7,01 - Homepage,200,OK,Realistic User Journey 1-42,text,true,,9011,210,96,96,http://localhost/,7,0,1
1778171360373,6,01 - Homepage,200,OK,Realistic User Journey 1-40,text,true,,9011,210,97,97,http://localhost/,6,0,1
1778171361110,7,01 - Homepage,200,OK,Realistic User Journey 1-41,text,true,,9011,210,98,98,http://localhost/,6,0,1
1778171361726,4,01 - Homepage,200,OK,Realistic User Journey 1-36,text,true,,9011,210,99,99,http://localhost/,3,0,1
1778171362232,6,01 - Homepage,200,OK,Realistic User Journey 1-52,text,true,,9011,210,100,100,http://localhost/,6,0,1
1778171362847,8,01 - Homepage,200,OK,Realistic User Journey 1-37,text,true,,9011,210,100,100,http://localhost/,7,0,2
1778171362850,8,01 - Homepage,200,OK,Realistic User Journey 1-44,text,true,,9011,210,100,100,http://localhost/,8,0,1
1778171362932,5,01 - Homepage,200,OK,Realistic User Journey 1-46,text,true,,9011,210,100,100,http://localhost/,5,0,1
1778171363300,3,01 - Homepage,200,OK,Realistic User Journey 1-55,text,true,,9011,210,100,100,http://localhost/,3,0,0
1778171364004,6,01 - Homepage,200,OK,Realistic User Journey 1-45,text,true,,9011,210,100,100,http://localhost/,6,0,1
1778171364645,7,01 - Homepage,200,OK,Realistic User Journey 1-50,text,true,,9011,210,100,100,http://localhost/,7,0,1
1778171364737,6,01 - Homepage,200,OK,Realistic User Journey 1-43,text,true,,9011,210,100,100,http://localhost/,6,0,1
1778171367860,6,01 - Homepage,200,OK,Realistic User Journey 1-54,text,true,,9011,210,100,100,http://localhost/,6,0,1
1778171368029,6,01 - Homepage,200,OK,Realistic User Journey 1-47,text,true,,9011,210,100,100,http://localhost/,6,0,1
1778171368394,7,01 - Homepage,200,OK,Realistic User Journey 1-48,text,true,,9011,210,100,100,http://localhost/,7,0,1
1778171368746,6,01 - Homepage,200,OK,Realistic User Journey 1-51,text,true,,9011,210,100,100,http://localhost/,6,0,1
